Date of Incident,City,Select State,Hazard Description,Inspection Number,Federal or State Plan,Citation Issued Related to Fatality
8/4/2018,Detroit,MI,Worker performing crowd control fatally struck by vehicle.,1338930,State,No
8/4/2018,Anderson,IN,Worker fatally struck by truck.,1342760,State,Yes
8/3/2018,Orange Park,FL,Worker electrocuted while removing power line from a marine dock.,1334049,Federal,Yes
8/3/2018,Wichita,KS,Worker died after hydraulic cylinder fell on him.,1335633,Federal,Yes
8/2/2018,Wilmington,DE,Worker trimming tree electrocuted after contacting power line.,1335114,Federal,Yes
8/2/2018,Chester,IL,Worker fatally struck by falling stonework during demolition.,1335808,Federal,Yes
8/2/2018,Brooklyn,NY,Worker died from heat stroke.,1336350,Federal,Yes
8/1/2018,Mims,FL,Worker died from burns in a gas explosion.,1337580,Federal,Yes
8/1/2018,Bonita Springs,FL,Worker fatally struck by van.,1335814,Federal,Yes
7/31/2018,Randolph,MA,Worker electrocuted by welding machine.,1336141,Federal,Yes
7/31/2018,Monahans,TX,Worker fatally struck by valve that blew off well head.,1336489,Federal,Yes
7/31/2018,Paradise Valley,AZ,Worker died afted tripping outside of guard shed.,1340741,State,No
7/31/2018,Fort Gratiot,MI,Worker fatally struck by vehicle.,1335120,State,No
7/31/2018,Columbus,NE,Worker fatally crushed by falling concrete mold.,1334460,Federal,No
7/31/2018,West Chester,OH,Worker died in fall from wall opening.,1334588,Federal,Yes
7/31/2018,Edinburg,VA,Worker died in fall from horse.,1389470,State,No
7/30/2018,Burlington,WI,Worker died when tractor rolled over.,1334735,Federal,Yes
7/30/2018,Monroe,OR,Worker drowned while supervising swimmers.,1335679,State,No
7/30/2018,Ellenwood,GA,Worker fatally crushed by truck when repair lift failed.,1334225,Federal,Yes
7/30/2018,East Windsor,CT,Worker died in fall ftrough skylight.,1334235,Federal,Yes
7/30/2018,Columbia,SC,Worker electrocuted when ladder contacted overhead power line.,1334516,State,Yes
7/30/2018,Middletown,OH,Worker fatally struck by vehicle.,1334557,Federal,No
7/30/2018,Evart,MI,Worker fatally struck by pipe.,1334596,State,No
7/29/2018,Brooklyn,NY,Worker died from heat-related illness.,1337787,Federal,No
7/28/2018,Philadelphia,PA,Worker electrocuted when ladder contacted power line.,1333899,Federal,No
7/28/2018,Pauls Valley,OK,Worker exiting a mud tank electrocuted when hands contacted the ground.,1343624,Federal,No
7/28/2018,La Quinta,CA,Worker died in fall from ladder.,1334321,State,Yes
7/27/2018,San Antonio,TX,Worker fatally crushed under house when floor collapsed.,1333637,Federal,Yes
7/27/2018,Monahans,TX,Worker fatally injured in gas line explosion.,1333644,Federal,No
7/27/2018,Daly City,CA,Worker died in trench collapse.,1333964,State,No
7/27/2018,Corona,CA,Worker fatally injured in fall from truck.,1335100,State,No
7/27/2018,North Fort Myers,FL,Worker fatally struck by truck.,1334039,Federal,No
7/27/2018,Coral Gables,FL,Worker electrocuted after contacting wires in attic.,1334558,Federal,No
7/27/2018,Malcom,IA,Worker fatally crushed by crane counter weights.,1334631,State,Yes
7/27/2018,Indianapolis,IN,Worker died in fall from scissor lift.,1335666,State,Yes
7/27/2018,Houston,TX,Worker died in fall from scaffolding.,1334230,Federal,Yes
7/27/2018,Houston,TX,Worker fatally struck by forklift.,1333837,Federal,Yes
7/26/2018,Saddle River,NJ,Worker drowned while removing tree trunk from river.,1348188,State,Yes
7/26/2018,Baltimore,MD,Worker died in fall from roof.,1333099,State,Yes
7/26/2018,Santee,CA,Worker drowned while cleaning swimming pool.,1334685,State,No
7/26/2018,Fort Riley,KS,Worker electrocuted when aluminum rail contacted power circuit.,1333324,Federal,Yes
7/26/2018,Pinnacle,NC,Worker fatally struck by falling tree limb.,1333673,State,Yes
7/26/2018,Redding,CA,Worker died in wildfire burnover.,1334092,State,No
7/26/2018,Castle Rock,CO,Worker fatally crushed between boxes.,1335164,Federal,No
7/26/2018,Rock Hill,SC,Worker died in vehicle collision.,1334514,State,Yes
7/26/2018,Toledo,OH,Worker died in fall from scissor lift.,1333304,Federal,No
7/25/2018,Crozet,VA,Worker fatally struck by falling lumber.,1333401,State,Yes
7/25/2018,Hallandale,FL,Worker died after explosion inside electrical vault room.,1333333,Federal,Yes
7/25/2018,Fontana,CA,Worker fatally injured inside stone mixer.,1333083,State,No
7/25/2018,San Jose,CA,Worker electrocuted while connecting wiring.,1333410,State,No
7/25/2018,Carlsbad,CA,Worker died in fall from ladder.,1333609,State,No
7/24/2018,Saint Louis,MO,Worker died after being struck by bales and knocked off forklift.,1334027,Federal,Yes
7/24/2018,Alabaster,AL,Worker electrocuted after contacting live wires.,1332964,Federal,Yes
7/24/2018,Summerville,SC,Worker drowned in pond.,1338064,State,Yes
7/23/2018,Goshen,IN,Worker fatally struck by lawn mower.,1358649,State,No
7/23/2018,Miami Beach,FL,Worker fatally struck by falling concrete during demolition.,1332339,Federal,Yes
7/23/2018,Royal Oaks,CA,Worker fatally struck by a wheel loader.,1332672,State,No
7/23/2018,Joplin,MO,Worker providing pateinrt care fatally shot.,1333417,Federal,No
7/23/2018,Kemah,TX,Worker died when welding tank exploded.,1332186,Federal,No
7/22/2018,Heron Lake,MN,Worker died after falling into manure pit.,1337647,State,Yes
7/21/2018,Los Angeles,CA,Worker fatally struck by a car while directing traffic.,1356469,State,No
7/21/2018,Louisville,KY,Worker died in fall through skylight.,1332547,State,Yes
7/21/2018,Evanston,IL,Worker fatally crushed by tree.,1332656,Federal,No
7/20/2018,Mountain Top,PA,Worker electrocuted when boom contacted power line.,1331762,Federal,No
7/20/2018,Pomona,CA,Worker fatally crushed under forklift.,1332867,State,No
7/20/2018,West Palm Beach,FL,Worker fatally struck by vehicle.,1332133,Federal,No
7/20/2018,Stuttgart,AR,Worker asphyxiated after being engulfed in grain.,1332749,Federal,Yes
7/20/2018,Tucson,AZ,Worker died in fall through skylight.,1335149,State,Yes
7/19/2018,Villa Hills,KY,Worker suffered fatal injury when construction vehicle rolled down hill.,1331818,State,Yes
7/19/2018,Guilford,CT,Worker fatally struck by falling tree.,1331605,Federal,Yes
7/19/2018,Chambersburg,PA,Two workers died from burns sustained in chemical flash fire.,1331518,Federal,Yes
7/19/2018,Spartanburg,SC,Worker electrocuted while repairing furnace.,1331816,State,No
7/19/2018,Culpeper,VA,Worker fatally struck by delivery truck.,1331258,Federal,No
7/19/2018,Fort Dodge,IA,Worker fatally crushed by steel rafter.,1332335,State,Yes
7/19/2018,Dracut,MA,Worker died in fall from ladder.,1331904,Federal,No
7/18/2018,Loving,NM,Worker died in explosion when tank fumes ignited.,1333888,State,Yes
7/18/2018,South Saint Paul,MN,Worker died when lawn mower overturned.,1347722,State,Yes
7/18/2018,Bayport,MN,Worker fatally struck by innmate.,1333253,State,Yes
7/18/2018,Saint Louis,MO,Worker electrocuted while connecting appliances.,1331859,Federal,Yes
7/18/2018,Concord,MA,Worker fatally burned while working on steam line.,1331118,Federal,No
7/18/2018,The Dalles,OR,Worker died in wildfire.,1332258,State,No
7/18/2018,Healdsburg,CA,Worker fatally struck by falling tree.,1332545,State,No
7/17/2018,Searcy,AR,Worker fatally crushed by horse.,1331172,Federal,No
7/17/2018,Quincy,CA,Worker died in truck rollover.,1330777,State,No
7/17/2018,Burton,TX,Worker died from heat exposure while pressurer washing rig.,1331483,Federal,No
7/17/2018,Cypress,TX,Worker electrocuted while intstalling lighting fixture.,1330707,Federal,Yes
7/16/2018,Walled Lake,MI,Worker electrocuted while setting up a printing press pump.,1330421,State,No
7/16/2018,Abilene,TX,Worker died in fall through skylight.,1332053,Federal,Yes
7/16/2018,New York,NY,Worker electrocuted while installing wiring.,1330040,Federal,No
7/16/2018,Waukomis,OK,Worker electrocuted while repairing air conditioning unit.,1331281,Federal,Yes
7/16/2018,Milan,OH,Worker fatally crushed when tractor rolled over.,1331479,Federal,Yes
7/16/2018,Kansas City,MO,Worker fatally shot during robbery.,1331517,Federal,Yes
7/15/2018,Maxton,NC,Worker fatally crushed between forklift and railing.,1331386,State,No
7/15/2018,Saint Charles,MO,Worjker died from allergic reation to bee sting.,1330465,Federal,No
7/14/2018,Firebaugh,CA,Worker died in fall from embankment while driving company vehicle.,1331132,State,No
7/14/2018,Mariposa,CA,Worker died when bulldozer rolled into ravine.,1330461,State,No
7/13/2018,Chalfont,PA,Worker fatally struck by falling steel column.,1330086,Federal,Yes
7/13/2018,Doraville,GA,Worker fatally crushed beneath vehicle.,1332135,Federal,Yes
7/13/2018,Phoenix,AZ,Worker fatally crushed by hydraulic arm.,1333587,State,Yes
7/13/2018,Grand Island,NE,Worker died from heat stroke.,1330077,Federal,Yes
7/13/2018,Elkhart,IN,Worker electrocuted by overhead power line.,1330152,State,Yes
7/12/2018,Ottawa Lake,MI,Worker asphyxiated whlie performing abrasive blasting.,1329577,State,Yes
7/12/2018,Greenville,NC,Worker fatally struck by excavator.,1330133,State,Yes
7/12/2018,Palo Alto,CA,Worker fatally struck by parking lot sweeper.,1329229,State,Yes
7/12/2018,Sharon,MA,Worker fatally crushed between lift and frame of laser cutter machine.,1333534,Federal,Yes
7/12/2018,New York,NY,Worker fatally struck by falling beam.,1329526,Federal,Yes
7/12/2018,Roseville,MI,Worker fatally crushed between cab of front end loader and ladder.,1329904,State,No
7/12/2018,Monroe,LA,Worker died in fall through plywood-covered floor hole.,1329723,Federal,Yes
7/12/2018,Hamilton,OH,Worker electrocuted when crane contaced power line.,1329313,Federal,Yes
7/11/2018,Orlando,FL,Worker fatally struck by vehicle.,1329921,Federal,Yes
7/11/2018,Sturgeon Bay,WI,Worker fatally struck by car.,1328986,Federal,Yes
7/11/2018,Houston,TX,Worker electrocuted when pole contacted power line.,1329092,Federal,Yes
7/11/2018,Magnolia,TX,Worker fatally struck by forklift.,1329334,Federal,Yes
7/10/2018,Hamburg,NY,Worker fatally crushed by shifting livestock panels.,1328852,Federal,Yes
7/10/2018,Bossier City,LA,Worker electrocuted while preparing to install wire.,1329912,Federal,Yes
7/9/2018,Beechgrove,TN,Worker died in fall from aerial bucket.,1328791,State,Yes
7/9/2018,Lake Buena Vista,FL,Worker fatally crushed when utlility vehicle rolled over during maintenance.,1328486,Federal,Yes
7/9/2018,Waterford,NY,Worker fatally struck by falling drill rod.,1328212.15,Federal,No
7/9/2018,Clearwater,NE,Worker died after sweep auger lacerated his leg.,1329663,Federal,Yes
7/9/2018,Belton,MO,Worker fatally struck by chipper trailer.,1328435,Federal,Yes
7/9/2018,Gold Beach,OR,Worker died after being struck and buried by falling dirt.,1329805,State,No
7/9/2018,Whitewright,TX,Worker electrocuted when ladder contacted power line.,1333101,Federal,Yes
7/9/2018,Lindon,UT,Worker fatally crushed by forklift boom.,1328214,State,No
7/8/2018,Pine Hall,NC,Worker died from burns sustained from explosion in copper mold chamber.,1328250,State,Yes
7/7/2018,Weston,WI,Worker electrocuted while installing light fixture.,1328220,Federal,Yes
7/6/2018,Woodland Hills,CA,Worker delivering mail died form heat exhaustion.,1328885,Federal,Yes
7/6/2018,Key Biscayne,FL,Worker trimming tree electrocuted when pole saw contacted power line.,1328133,Federal,Yes
7/6/2018,Porter,TX,Worker died in fall from collapsed structure.,1328483,Federal,Yes
7/6/2018,Tulsa,OK,Worker electrocuted after contacting overhead power lines.,1328873,Federal,Yes
7/6/2018,North Charleston,SC,Worker fatally injured when vessel crashed into sea wall.,1328484,Federal,No
7/6/2018,Fairbanks,AK,Worker died from self-inflicted gunshot wound.,1294136,State,No
7/6/2018,Hayward,CA,Worker died from silicosis.,1374173,State,No
7/5/2018,Home,PA,Worker died from burns and toxic gas exposure when car caught fire.,1328840,Federal,Yes
7/5/2018,Dallas,TX,Worker died from inhaling sewer gas.,1327997,Federal,Yes
7/5/2018,Mcalester,OK,Worker electrocuted by overhead power line.,1328183,Federal,Yes
7/5/2018,Thornton,CO,Worker fatally struck by chain saw.,1327902,Federal,Yes
7/5/2018,Kansas City,MO,Worker fatally struck by lightning.,1328316,Federal,Yes
7/5/2018,Darien,CT,Worker died in fall from scaffold.,1327539,Federal,No
7/4/2018,Port Gibson,MS,Worker died in a fall from waste collection truck,1341880,Federal,No
7/4/2018,Laurel,MS,Worker fatally struck by vehicle.,1327456,Federal,Yes
7/4/2018,Belle Chasse,LA,Worker died after slipping and falling on wet floor.,1327695,Federal,Yes
7/4/2018,Queensbury,NY,Worker fatally crushed between tree limb and tractor.,1327507,Federal,No
7/3/2018,Buffalo,MO,Worker died in firework explosion.,1327794,Federal,Yes
7/3/2018,Tulsa,OK,Worker fatally crushed by falling asphalt paver.,1328861,Federal,No
7/3/2018,Los Angeles,CA,Worker fatally shot during robbery.,1327631,State,No
7/3/2018,Myrtle Beach,SC,Worker died in fall from hotel balcony.,1327650,State,No
7/3/2018,Pensacola,FL,Worker drowned after installing pole and motion sensor on dock.,1327627,Federal,No
7/3/2018,Sandy,UT,Worker died in fall from tree.,1328746,State,Yes
7/3/2018,Boise,ID,Worker died in fall between roof studs.,1327532,Federal,Yes
7/3/2018,Elkader,IA,Worker fatally crushed when bridge truss fell over.,1327769,State,Yes
7/2/2018,Charles Town,WV,Worker died in fall from roof,1326968,Federal,Yes
7/2/2018,Inman,SC,Worker died in fall from wood decking.,1328254,State,Yes
7/2/2018,N Weymouth,MA,Worker fatally crushed between sweeper and concrete stairwell.,1327573,Federal,No
7/2/2018,Savannah,GA,Worker died in fall from tree.,1327107,Federal,No
7/2/2018,Brenham,TX,Worker died in fall from roof.,1327455,Federal,Yes
7/2/2018,Johnstown,PA,Worker fatally struck by dumpster.,1327114,Federal,Yes
7/2/2018,Boca Raton,FL,Worker died in fall from roof.,1328604,Federal,Yes
6/30/2018,Brooklyn,NY,Worker fatally struck by work vehicle.,1329417,Federal,Yes
6/30/2018,Rodanthe,NC,Worker died in fall doen stairs.,1327639,State,No
6/29/2018,Mc Arthur,OH,Worker died in fall through hole in elevated floor.,1326944,Federal,Yes
6/29/2018,Rhododendron,OR,Worker died in vehicle collision.,1327383,State,No
6/28/2018,Brooksville,FL,Worker died in fall while installing trusses.,1329895,Federal,No
6/28/2018,Rowley,MA,Worker died in fall from tree.,1326116,Federal,Yes
6/27/2018,New Johnsonville,TN,Worker died when dump truck overturned.,1326019,State,Yes
6/27/2018,Ulster Park,NY,Worker fatally struck by tractor.,1327229,Federal,Yes
6/27/2018,San Diego,CA,Worker died in fall through skylight.,1327187,State,No
6/27/2018,Dallas,GA,Worker fatally struck by tractor trailer.,1327223,Federal,No
6/27/2018,Rainbow City,AL,Worker electrocuted by light fixture.,1326417,Federal,Yes
6/26/2018,Gatesville,TX,Two workers died in natural gas line explosion.,1326648,Federal,No
6/26/2018,Fayetteville,NC,Worker fatally struck by falling tree.,1330515,State,Yes
6/26/2018,Atlanta,GA,Worker asphyxiated inside locked beer cooler.,1326390,Federal,No
6/26/2018,Valley Stream,NY,Worker died in fall from cargo area of moving truck.,1325241,Federal,No
6/26/2018,Avon,IN,Worker died in fall when scissor lift tipped over.,1327024,State,Yes
6/26/2018,Marshallville,OH,Worker died from fall in a silo.,1325870,Federal,Yes
6/26/2018,Alameda,CA,Worker died in fall from scaffold.,1326123,Federal,No
6/26/2018,Ammon,ID,Worker died in fall from roof.,1326469,Federal,Yes
6/25/2018,Sylvania,GA,Worker drowned after being struck by fence post and falling into pond.,1325587,Federal,No
6/25/2018,Lockport,NY,Worker fatally crushed under granite slabs.,1325482,Federal,Yes
6/25/2018,Rocklin,CA,Worker died in fall from structure.,1327970,State,No
6/23/2018,Dallas,TX,Worker electrocuted by treet lamp power line.,1325187,Federal,Yes
6/22/2018,Lexington,KY,Worker electrocuted when dump truck contacted overhead powerline,1325407,State,No
6/22/2018,Long Beach,CA,Worker died in fall through hole in roof.,1324731,State,No
6/22/2018,Clanton,AL,Worker died in fall from roof.,1325917,Federal,Yes
6/21/2018,Moultrie,GA,Worker picking tomoatoes died from heat stroke.,1325173,Federal,Yes
6/21/2018,Fort Myers,FL,Worker fatally crushed between aerial lift and sign.,1324497,Federal,Yes
6/21/2018,Washington,DC,Worker cleaning gutters died in fall.,1324516,Federal,Yes
6/21/2018,Denver,CO,Worker fatally struck by beam.,1325169,Federal,Yes
6/20/2018,Sutherlin,OR,Worker fatally struck by logging equipment.,1324805,State,No
6/20/2018,Blythewood,SC,Worker died in fall from aerial lift.,1324784,State,Yes
6/20/2018,Brigantine,NJ,Worker fatally struck by falling steel beam.,1324218,Federal,No
6/20/2018,Penuelas,PR,Worker electrocuted by elecrical cabinet.,1324993,State,Yes
6/19/2018,Hermitage,AR,Worker died from heat exhaustion while picking squash.,1324485,Federal,Yes
6/19/2018,Enid,OK,Worker fatally struck by trailer.,1325540,Federal,No
6/19/2018,East Chicago,IN,Worker died after becoming caught in conveyer belt.,1324425,State,Yes
6/19/2018,Wellborn,TX,Worker fatally struck by all-terrain vehicle.,1324488,Federal,Yes
6/18/2018,Ellery,IL,Worker electrocuted when pesticide sprayer contacted power line.,1323934,Federal,Yes
6/18/2018,Orlando,FL,Worker died in fall from aerial lift.,1328029,Federal,Yes
6/18/2018,City Of Industry,CA,Worker fatally shot during robbery.,1323740,State,No
6/18/2018,Libby,MT,Worker died in fall from roof.,1324034,Federal,Yes
6/16/2018,Margate,FL,Worker fatally struck by lightning.,1323608,Federal,No
6/16/2018,Mission,TX,Worker fatally crushed by cement truck.,1323542,Federal,Yes
6/15/2018,Panama City,FL,Worker electrocuted when aerial lift contacted power line.,1323276,Federal,Yes
6/15/2018,Sn Bernrdno,CA,Worker fatally shot during robbery.,1329760,State,No
6/14/2018,Flint,MI,Worker fatally struck by pressurized pipe cap.,1322687,State,No
6/14/2018,Detroit,MI,Worker fatally struck by vehicle.,1322663,State,Yes
6/14/2018,Granby,CO,Worker died in trench collapse.,1323059,Federal,Yes
6/14/2018,Beulaville,NC,Worker drowned when boat sank.,1323416,State,Yes
6/14/2018,Tulsa,OK,Worker fatally struck by forklift.,1330036,Federal,No
6/14/2018,Justice,IL,Worker fatally struck by tractor.,1323320,Federal,No
6/13/2018,San Francisco,CA,Worker fatally struck by vehicle rolling down hill.,1323215,State,No
6/13/2018,Chicago,IL,Worker fatally struck by tractor.,1322401,Federal,No
6/13/2018,Emerson,IA,Worker electrocuted by contacting grounded cable.,1322862,State,Yes
6/12/2018,Bensalem,PA,Worker died in explosion of gasoline storage tank.,1322638,Federal,Yes
6/12/2018,Savannah,GA,Worker fatally crushed by tube plate.,1323042,Federal,Yes
6/12/2018,La Junta,CO,Worker fatally crushed between truck bed and frame.,1323057,Federal,No
6/11/2018,Philipsburg,PA,Worker in tree electocuted after contacting power line.,1322910,Federal,Yes
6/11/2018,Chamblee,GA,Worker died in fall from equipment.,1323382,Federal,Yes
6/11/2018,Soledad,CA,Worker fatally crushed when forklift turned over.,1321948,State,No
6/11/2018,Petaluma,CA,Worker died after becoming caught in commercial mixer.,1323282,State,No
6/11/2018,Silverton,OR,Worker died in fall through skylight.,1349211,State,No
6/11/2018,Chicago,IL,Worker died in fall from furniture swing display model.,1322551,Federal,No
6/11/2018,Medway,MA,Worker died in fall.,1321920,Federal,Yes
6/11/2018,Kronenwetter,WI,Worker died In fall from roof trusses.,1321967,Federal,Yes
6/11/2018,Chicago,IL,Worker died in fall down elevator shaft.,1321924,Federal,No
6/9/2018,Lithonia,GA,Worker electrocuted while spray-painting electrical conduit.,1322686,Federal,Yes
6/9/2018,Suwanee,GA,Worker fatally struck by falling tree branch.,1321541,Federal,Yes
6/9/2018,Varysburg,NY,Worker fatally struck by rotating steel beam.,1323961,Federal,No
6/9/2018,Brooklyn,NY,Worker died in fall from ladder.,1322480,Federal,No
6/9/2018,Maumelle,AR,Worker fatally injured by lightning strike.,1321994,Federal,No
6/8/2018,Hunt Valley,MD,Worker fatally crushed between counterweight and I-beam in elevator shaft.,1321581,State,Yes
6/8/2018,Medley,FL,Worker died in fall from order picker.,1321776,Federal,Yes
6/8/2018,Pearland,TX,Worker fatally struck by steel pipe.,1321666,Federal,Yes
6/8/2018,Osceola,AR,Worker fatally crushed between beam and oscillating rollers.,1322264,Federal,Yes
6/8/2018,Columbus,OH,Worker drowned when riding mower rolled over into pond.,1322151,Federal,Yes
6/8/2018,Moody,AL,Worker fatally struck by skid steer.,1322907,Federal,No
6/8/2018,Woonsocket,RI,Worker electructed by power line.,1321589,Federal,No
6/6/2018,Commerce,GA,Worker fatally struck by vehicle.,1321498,Federal,No
6/6/2018,Santa Monica,CA,Worker died in fall from unprotected edge.,1321236,State,No
6/6/2018,Bridgewater,NJ,Worker fatally struck by motor vehicle.,1321494,Federal,No
6/6/2018,O Brien,FL,Worker fatally injured from gas cylinder explosion.,1321482,Federal,No
6/6/2018,Kamiah,ID,Worker fatally crushed under fallen stack of boards.,1321978,Federal,Yes
6/5/2018,Berkeley,CA,Worker fatally struck by falling nail gun.,1321116,State,No
6/5/2018,Baltimore,MD,Worker died in trench collapse.,1320857,State,Yes
6/5/2018,Toledo,OH,Worker fatally shot during robbery.,1320702,Federal,No
6/5/2018,Findlay,OH,Worker fatally crushed between semi trailer and dock.,1320598,Federal,Yes
6/5/2018,Carpenter,WY,Worker died from exposure to methane and hydrogen sulfide in waste pit.,1322243,State,No
6/5/2018,East Northport,NY,Worker died in fall from ladder.,1320918,Federal,No
6/4/2018,Lewisberry,PA,Worker fatally struck by tree.,1320663,Federal,Yes
6/4/2018,Saint Louis,MO,Worker died in fall from scaffold.,1320364,Federal,Yes
6/4/2018,Washington,DC,Worker drowned when boat capsized.,1320548,Federal,Yes
6/4/2018,Houston,TX,Worker died in fall through skylight,1320963,Federal,Yes
6/4/2018,Bedford Heights,OH,Worker fatally crushed between two steel plates.,1317108,Federal,Yes
6/3/2018,Saint Marys,KS,Twp workers suffered fatal burn injuries from steam.,1320283,Federal,Yes
6/3/2018,Sandy Springs,GA,Worker fatally struck by train.,1323844,Federal,No
6/2/2018,North Bergen,NJ,Worker fatally struck by front end loader that was backing up.,1320127,Federal,Yes
6/2/2018,Neelyville,MO,Worker fatally struck by backhoe bucket.,1328433,Federal,Yes
6/2/2018,Athens,WI,Worker died after striking a metal mailbox during vehicle rollover.,1320147,Federal,Yes
6/1/2018,Cape Coral,FL,Worker asphyxiated while testing sewer pipes in manhole.,1320667,Federal,Yes
6/1/2018,North Fort Myers,FL,Worker died in fall from golf cart.,1321391,Federal,No
5/31/2018,Pittston,PA,Worker died in fall from catwalk.,1320962,Federal,Yes
5/31/2018,Orange,CA,Workers fatally struck by vehicle.,1319842,State,No
5/30/2018,Portales,NM,Worker fatally struck by falling electrical pole.,1325046,State,No
5/30/2018,Sartell,MN,Worker died in fall from platform.,1319864,State,No
5/30/2018,Rison,AR,Worker died in fall from deck.,1319575,Federal,Yes
5/29/2018,Plantation,FL,Worker fatally struck by falling tree.,1318853,Federal,Yes
5/29/2018,Allentown,PA,Worker fatally crushed by printing press that fell from rigging while being moved.,1319562,Federal,Yes
5/29/2018,Bonita Springs,FL,Worker fatally crushed by falling wall during demolition.,1318991,Federal,Yes
5/29/2018,Eagle,ID,Worker died after contacting electrified fence.,1319357,Federal,Yes
5/29/2018,Papillion,NE,Worker died in fall from roof.,1319480,Federal,Yes
5/29/2018,Milford,OH,Worker suffered fatal injury after falling on concrete floor.,1335069,Federal,Yes
5/29/2018,Lakeview,OR,Worker died in vehicle collision.,1352942,State,No
5/29/2018,Ypsilanti,MI,Worker fatally crushed by a bus.,1319001,State,No
5/28/2018,Chicago,IL,Worker drowned while attempting rescue operation.,1318837,State,No
5/27/2018,Albuquerque,NM,Worker died in fall to floor.,1336542,State,Yes
5/26/2018,New York,NY,Worker fatally crushed by falling metal rack.,1319762,Federal,No
5/26/2018,Albany,NY,Worker fatally stuck by bucket of front end loader.,1318718,Federal,No
5/26/2018,Madison,MS,Worker electrocuted while installing circuit board.,1319774,Federal,Yes
5/26/2018,Saginaw,MI,Worker died in fall from ladder.,1319005,State,No
5/26/2018,Panama City Beach,FL,Worker died from respiratory arrest possibly attributed to acute silicosis.,1319612,Federal,No
5/25/2018,West Union,WV,"Worker died in oil and gas tank explosion,",1319328,Federal,Yes
5/25/2018,Summerfield,NC,Worker died in fall.,1318892,State,Yes
5/25/2018,West Union,WV,Worker died in oil and gas tank explosion.,1319002,Federal,Yes
5/25/2018,Grove City,OH,Worker cleaning tanker trailed died from exposure to hydrogen sulfide.,1318984,Federal,Yes
5/25/2018,Mount Gilead,NC,Worker fatally struck by loader.,1320159,State,Yes
5/25/2018,Dayton,VA,Worker trimming tree electrocuted after contacting power line.,1318833,State,No
5/24/2018,Astoria,OR,Worker fatally crushed by forklift mast.,1318921,State,No
5/24/2018,Pineville,LA,Worker died in forklift explosion.,1318810,Federal,No
5/24/2018,Clarksville,TN,Worker fatally crushed by rolling truck.,1318661,State,Yes
5/23/2018,Charlotte,NC,Worker died in fall from hoist.,1318893,State,No
5/23/2018,South Lyon,MI,Worker fatally crushed under asphalt truck.,1317804,State,No
5/23/2018,Sacramento,CA,Worker fatally struck by vehicle dump bed.,1318218,Federal,No
5/23/2018,Washington,DC,Worker electrocuted while installing electrical conduit.,1317724,Federal,Yes
5/23/2018,Walhalla,SC,Worker fatally struck by vehicle.,1318581,State,No
5/23/2018,Fair Oaks Ranch,TX,Worker fatally struck by skid steer.,1318380,Federal,Yes
5/23/2018,Milwaukee,WI,Worker fatally crushed between guardrail and concrete beam.,1317825,Federal,Yes
5/23/2018,Haymarket,VA,Worker fatally struck by school bus.,1318506,State,No
5/23/2018,Celina,TX,Worker fatally crushed between arm and body of steer loader.,1318177,Federal,Yes
5/23/2018,New Augusta,IN,Worker fatally injured from gunshot.,1322108,State,No
5/23/2018,Boise,ID,Worker fatally struck by loader implement.,1318105,Federal,Yes
5/22/2018,Richardson,TX,Worker electrocuted while attaching wires to junction box.,1318191,Federal,No
5/22/2018,Hampton,IA,Worker electrocuted when ladder contacted power line.,1342133,State,Yes
5/22/2018,Fort Pierre,SD,Worker fatally crushed between vehicles.,1318033,Federal,Yes
5/21/2018,Phoenix,AZ,Worker died in shaft caved in.,1317846,State,Yes
5/20/2018,Palo Alto,CA,Worker died in fall from tree.,1317186,State,Yes
5/18/2018,Lamberton,MN,Worker fatally engulfed in grain bin.,1319521,State,Yes
5/18/2018,Kalaheo,HI,Worker died when riding lawn mower flipped over.,1318227,State,Yes
5/18/2018,Stratford,WI,Worker fatally struck by aluminum pipe.,1316906,Federal,Yes
5/18/2018,Bakersfield,CA,Worker died in fall from grain silo platform.,1316900,State,No
5/18/2018,Weatherford,TX,Worker died in fall from bucket of front end loader.,1319057,Federal,No
5/17/2018,Madras,OR,Worker died in vehicle collision.,1368786,State,No
5/17/2018,Aransas Pass,TX,Worker died in fall through roof.,1317807,Federal,Yes
5/17/2018,Pigeon Forge,TN,Worker fatally struck by sign post.,1317291,State,Yes
5/17/2018,Saginaw,MI,Worker fatally injured ater tripping in hallway.,1317488,State,No
5/17/2018,Arcade,NY,Worker fatally crushed by falling duct.,1317323,Federal,Yes
5/17/2018,Everett,PA,Woreer fatally struck by a truck,1320455,Federal,Yes
5/17/2018,Hurricane Mills,TN,Worker died in fall from elevated platform.,1316851,State,Yes
5/16/2018,Stanton,TX,Worker fatally crushed between tanker truck and tank.,1316990,Federal,Yes
5/16/2018,Taos,NM,Worker died in falll from edge of mountain.,1320265,Federal,No
5/16/2018,Parkland,FL,Worker fatally struck by lightning.,1316469,Federal,Yes
5/16/2018,Smithville,OH,Worker fatally crushed by skid steer boom arms.,1316801,Federal,Yes
5/15/2018,Nazareth,PA,Worker electrocuted while rewiring light fixture.,1316094,Federal,No
5/15/2018,Temperanceville,VA,Worker on ladder died after being struck by tree limb.,1317430,State,No
5/14/2018,Gretna,VA,Worker electrocuted by augur.,1316291,State,No
5/14/2018,Norfolk,VA,Worker died in fall through skylight.,1315615,State,Yes
